OTRD_ID;OTRD_OTR_ID_ObjectTypeRelatinship;OTRD_OTR_ID_ConditionalObjectTypeRelationship;OTRD_RDT_ID_RelationshipDependencyType;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
1876;2379;2380;1;SAMRUMUser;2010-01-20 10:07:08.453;SAMRUMUser;2010-01-20 10:07:08.453;0x00000000000319EC
1877;2381;2382;1;SAMRUMUser;2010-01-20 10:08:44.263;SAMRUMUser;2010-01-20 10:08:44.263;0x00000000000319F5
1880;2383;2338;2;SAMRUMUser;2010-01-21 14:30:45.647;SAMRUMUser;2010-01-21 14:30:45.647;0x0000000000031A03
1881;2383;2340;2;SAMRUMUser;2010-01-21 14:31:56.053;SAMRUMUser;2010-01-21 14:31:56.053;0x0000000000031A05
1887;2383;2384;1;SAMRUMUser;2010-01-21 21:11:08.633;SAMRUMUser;2010-01-21 21:11:08.633;0x0000000000031A25
1889;2383;2385;1;SAMRUMUser;2010-01-21 21:28:27.903;SAMRUMUser;2010-01-21 21:28:27.903;0x0000000000031A38
1891;2375;2376;1;SAMRUMUser;2010-01-22 13:15:10.403;SAMRUMUser;2010-01-22 13:15:10.403;0x0000000000031A53
1895;2388;2391;2;SAMRUMUser;2010-01-22 17:17:47.580;SAMRUMUser;2010-01-22 17:17:47.580;0x0000000000031A8D
1896;2388;2389;1;SAMRUMUser;2010-01-22 17:54:52.247;SAMRUMUser;2010-01-22 17:54:52.247;0x0000000000031AB1
1897;2388;2390;1;SAMRUMUser;2010-01-22 17:55:30.247;SAMRUMUser;2010-01-22 17:55:30.247;0x0000000000031AB6
1915;2401;2400;1;SAMRUMUser;2010-02-01 17:09:37.910;SAMRUMUser;2010-02-01 17:09:37.910;0x0000000000031C60
1916;2402;2394;1;SAMRUMUser;2010-02-01 17:15:05.003;SAMRUMUser;2010-02-01 17:15:05.003;0x0000000000031C68
1917;2402;2403;2;SAMRUMUser;2010-02-01 17:15:52.410;SAMRUMUser;2010-02-01 17:15:52.410;0x0000000000031C6E
