PMO_ID;PMO_Name;PMO_Description;PMO_AllowIncompleteVersions;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp;PMO_PMF_ID_ProjectModuleFolder
195;Färdigställande inredning;NULL;0;SAMRUMUser;2012-06-16 18:03:37.753;SAMRUMUser;2017-04-16 09:10:28.080;0x000000000006ABDA;77
196;Inköp dörrar;NULL;0;SAMRUMUser;2012-06-28 08:10:02.603;SAMRUMUser;2022-10-16 11:12:27.723;0x00000000000804E2;136
197;Inköp bygg;NULL;0;SAMRUMUser;2012-06-28 08:22:06.217;SAMRUMUser;2017-04-16 09:08:37.377;0x000000000006ABD4;57
198;Ändringsbesked Beställare;NULL;0;SAMRUMUser;2012-12-12 15:47:23.907;SAMRUMUser;2012-12-12 15:47:23.907;0x0000000000045B4E;10
199;Ändringshantering entreprenör;NULL;0;SAMRUMUser;2012-12-12 15:47:58.140;SAMRUMUser;2012-12-12 15:47:58.140;0x0000000000045B4F;10
200;Test versionshantering;NULL;0;SAMRUMUser;2013-01-22 17:40:37.270;SAMRUMUser;2013-01-22 17:40:37.270;0x00000000000468E9;NULL
201;Elcentraler;NULL;0;SAMRUMUser;2013-01-26 14:02:27.847;SAMRUMUser;2013-01-26 14:02:27.847;0x00000000000468F2;4
202;6.2.2.1 Förfrågningar;NULL;0;SAMRUMUser;2013-03-15 20:06:29.297;SAMRUMUser;2013-03-15 20:06:29.297;0x0000000000047546;23
203;Adresslista A;Avser personal som skall vara med i Projektets adresslista;0;SAMRUMUser;2013-08-16 13:56:08.300;SAMRUMUser;2013-08-16 13:56:08.300;0x0000000000048459;16
204;2.02 Ark systemhandling;NULL;0;SAMRUMUser;2013-08-30 08:43:49.160;SAMRUMUser;2013-09-03 14:03:37.700;0x00000000000489EB;42
205;2.03 Dörrar systemhandling;NULL;0;SAMRUMUser;2013-08-30 08:44:10.657;SAMRUMUser;2013-09-03 14:03:31.100;0x00000000000489E9;42
206;2.04 Fönster systemhandling;NULL;0;SAMRUMUser;2013-08-30 08:44:27.180;SAMRUMUser;2013-09-03 14:03:24.957;0x00000000000489E7;42
207;Grundkonstruktion;NULL;0;SAMRUMUser;2013-08-30 10:54:07.353;SAMRUMUser;2013-08-30 10:54:49.937;0x0000000000048665;40
208;Grundläggning;NULL;0;SAMRUMUser;2013-08-30 10:55:07.380;SAMRUMUser;2013-08-30 10:55:07.380;0x0000000000048666;40
209;Stomkonstruktioner;NULL;0;SAMRUMUser;2013-08-30 10:57:23.470;SAMRUMUser;2013-08-30 10:57:23.470;0x0000000000048667;41
210;4.71 Sprinkler leveransdata;NULL;0;SAMRUMUser;2013-09-01 16:21:23.770;SAMRUMUser;2017-04-15 22:49:45.600;0x000000000006AB98;65
211;4.1 Utökad rumsbeskrivning produktionsfas;NULL;0;SAMRUMUser;2013-09-07 10:37:53.373;SAMRUMUser;2017-04-15 22:19:43.810;0x000000000006AB50;57
212;4.52 Brandlarm leveransdata;NULL;0;SAMRUMUser;2013-09-12 20:55:37.300;SAMRUMUser;2017-04-15 22:55:43.390;0x000000000006ABA6;61
213;RFP som erbjuds av fastighetsägare;NULL;0;SAMRUMUser;2013-10-08 10:43:31.040;SAMRUMUser;2013-10-08 10:43:31.040;0x00000000000497CB;1
214;El, vatten och energimätare;NULL;0;SAMRUMUser;2013-10-10 14:39:08.523;SAMRUMUser;2013-10-10 14:39:08.523;0x0000000000049B42;4
215;SUA och registerkontroll;NULL;0;SAMRUMUser;2014-01-16 19:07:49.340;SAMRUMUser;2014-01-16 19:07:49.340;0x000000000004A38A;23
216;Arb.beredning entreprenadpaket;NULL;0;SAMRUMUser;2014-01-24 20:39:49.240;SAMRUMUser;2014-02-03 10:28:59.620;0x000000000004AB4C;16
219;Arbetsmiljöplan;NULL;0;SAMRUMUser;2014-02-13 20:05:00.050;SAMRUMUser;2014-02-13 20:05:00.050;0x000000000004AB55;43
221;Nyckelhantering;NULL;0;SAMRUMUser;2014-04-17 10:54:56.017;SAMRUMUser;2017-04-16 09:12:21.607;0x000000000006ABE0;4
