OTRM_ID;OTRM_OTR_ID_ObjectTypeRelationship;OTRM_PMO_ID_Module;OTRM_ReadOnly;CREATED_BY;CREATED_DATE;CHANGED_BY;CHANGED_DATE;timestamp
4321;1339;75;1;SAMRUMDev;2008-05-02 16:22:49.887;SAMRUMDev;2008-05-02 16:22:49.887;0x0000000000015CE7
4322;1339;77;0;SAMRUMDev;2008-05-02 16:22:49.887;SAMRUMDev;2008-05-02 16:22:49.887;0x0000000000015CE8
4323;1340;68;1;SAMRUMDev;2008-05-02 16:23:19.640;SAMRUMDev;2008-05-02 16:23:19.640;0x0000000000015CE9
4324;1340;75;0;SAMRUMDev;2008-05-02 16:23:19.640;SAMRUMDev;2008-05-02 16:23:19.640;0x0000000000015CEA
4325;1340;77;1;SAMRUMDev;2008-05-02 16:23:19.640;SAMRUMDev;2008-05-02 16:23:19.640;0x0000000000015CEB
4326;1341;68;1;SAMRUMDev;2008-05-02 16:23:54.373;SAMRUMDev;2008-05-02 16:23:54.373;0x0000000000015CEC
4327;1341;75;1;SAMRUMDev;2008-05-02 16:23:54.373;SAMRUMDev;2008-05-02 16:23:54.373;0x0000000000015CED
4328;1341;77;0;SAMRUMDev;2008-05-02 16:23:54.387;SAMRUMDev;2008-05-02 16:23:54.387;0x0000000000015CEE
4332;1345;68;1;SAMRUMDev;2008-05-02 16:24:57.967;SAMRUMDev;2008-05-02 16:24:57.967;0x0000000000015CF2
4333;1345;77;0;SAMRUMDev;2008-05-02 16:24:57.967;SAMRUMDev;2008-05-02 16:24:57.967;0x0000000000015CF3
4411;1391;85;0;SAMRUMDev;2008-05-03 18:04:57.623;SAMRUMDev;2008-05-03 18:04:57.623;0x0000000000015E04
4412;1392;85;0;SAMRUMDev;2008-05-03 18:05:12.623;SAMRUMDev;2008-05-03 18:05:12.623;0x0000000000015E07
